UNITID,Comparator_Type
210401,Willamette
209056,Regional_Peer
209065,Regional_Peer
236328,Regional_Peer
237057,Regional_Peer
209922,Regional_Peer
209825,Regional_Competitor
235316,Regional_Competitor
209551,Regional_Competitor
209542,Regional_Competitor
110714,National_Peer
156408,National_Peer
221519,National_Peer
191630,National_Peer
218973,National_Peer
161004,Affordability
173258,Affordability
198385,Affordability
120254,Affordability
211291,Affordability
233374,Affordability
236595,Affordability
