"UNITID","OPEID","INSTNM","SCH_DEG","STABBR","CONTROL","TUITFTE","INEXPFTE","PRGMOFR","UGDS","COSTT4_A","GRAD_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","PELL_DEBT_MDN","MALE_DEBT_MDN","FEMALE_DEBT_MDN","FIRSTGEN_DEBT_MDN","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT4_048_PRIV","CNTOVER150_1YR","CNTOVER150_3YR","UGDS_WOMEN","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_NHPI","UGDS_2MOR","IRPS_MEN","IRPS_WOMEN","IRPS_WHITE","IRPS_BLACK","IRPS_HISP","IRPS_ASIAN","IRPS_NHPI","IRPS_2MOR","PCTPELL_DCS","FTFTPCTPELL","C100_4","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_NHPI","C150_4_2MOR","C150_4_PELL","COMP_ORIG_YR4_RT","COMP_ORIG_YR6_RT","COMP_ORIG_YR8_RT","LO_INC_COMP_ORIG_YR4_RT","LO_INC_COMP_ORIG_YR6_RT","LO_INC_COMP_ORIG_YR8_RT","MD_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR6_RT","MD_INC_COMP_ORIG_YR8_RT","HI_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR6_RT","HI_INC_COMP_ORIG_YR8_RT","MALE_COMP_ORIG_YR4_RT","MALE_COMP_ORIG_YR6_RT","MALE_COMP_ORIG_YR8_RT","FEMALE_COMP_ORIG_YR4_RT","FEMALE_COMP_ORIG_YR6_RT","FEMALE_COMP_ORIG_YR8_RT","PELL_COMP_ORIG_YR4_RT","PELL_COMP_ORIG_YR6_RT","PELL_COMP_ORIG_YR8_RT","OMAWDP8_FTFT","OMAWDP8_PELL_FTFT","OMAWDP8_FTNFT","OMAWDP8_PELL_FTNFT","OMENRAP8_FTFT","OMENRAP8_PELL_FTFT","OMENRAP8_FTNFT","OMENRAP8_PELL_FTNFT","RET_FT4","COMP_4YR_TRANS_YR4_RT","COMP_4YR_TRANS_YR6_RT","COMP_4YR_TRANS_YR8_RT","LO_INC_COMP_4YR_TRANS_YR4_RT","LO_INC_COMP_4YR_TRANS_YR6_RT","LO_INC_COMP_4YR_TRANS_YR8_RT","MD_INC_COMP_4YR_TRANS_YR4_RT","MD_INC_COMP_4YR_TRANS_YR6_RT","MD_INC_COMP_4YR_TRANS_YR8_RT","HI_INC_COMP_4YR_TRANS_YR4_RT","HI_INC_COMP_4YR_TRANS_YR6_RT","HI_INC_COMP_4YR_TRANS_YR8_RT","MALE_COMP_4YR_TRANS_YR4_RT","MALE_COMP_4YR_TRANS_YR6_RT","MALE_COMP_4YR_TRANS_YR8_RT","FEMALE_COMP_4YR_TRANS_YR4_RT","FEMALE_COMP_4YR_TRANS_YR6_RT","FEMALE_COMP_4YR_TRANS_YR8_RT","PELL_COMP_4YR_TRANS_YR4_RT","PELL_COMP_4YR_TRANS_YR6_RT","PELL_COMP_4YR_TRANS_YR8_RT","FIRSTGEN_COMP_4YR_TRANS_YR4_RT","FIRSTGEN_COMP_4YR_TRANS_YR6_RT","FIRSTGEN_COMP_4YR_TRANS_YR8_RT","year","year_num","Comparator_Type"
110714,132100,"University of California-Santa Cruz",,"CA",1,,,,9154,,,,,,,,,,,,,,,,0.5972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"National_Peer"
120254,124900,"Occidental College",,"CA",2,,,,1456,,,,,,,,,,,,,,,,0.5694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Affordability"
156408,196100,"Centre College",,"KY",2,,,,960,,,,,,,,,,,,,,,,0.5083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"National_Peer"
161004,203800,"Bowdoin College",,"ME",2,,,,1581,,,,,,,,,,,,,,,,0.5073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Affordability"
173258,234000,"Carleton College",,"MN",2,,,,1867,,,,,,,,,,,,,,,,0.5158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Affordability"
191630,273100,"Hobart William Smith Colleges",,"NY",2,,,,1782,,,,,,,,,,,,,,,,0.5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"National_Peer"
198385,291800,"Davidson College",,"NC",2,,,,1600,,,,,,,,,,,,,,,,0.4856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Affordability"
209056,319700,"Lewis & Clark College",,"OR",2,,,,1748,,,,,,,,,,,,,,,,0.5755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Peer"
209065,319800,"Linfield University",,"OR",2,,,,2651,,,,,,,,,,,,,,,,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Peer"
209542,321000,"Oregon State University",,"OR",1,,,,10985,,,,,,,,,,,,,,,,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Competitor"
209551,322300,"University of Oregon",,"OR",1,,,,13690,,,,,,,,,,,,,,,,0.5251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Competitor"
209825,322400,"University of Portland",,"OR",2,,,,2078,,,,,,,,,,,,,,,,0.5582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Competitor"
209922,321700,"Reed College",,"OR",2,,,,1306,,,,,,,,,,,,,,,,0.5253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Peer"
210401,322700,"Willamette University",,"OR",2,,,,1711,,,,,,,,,,,,,,,,0.5663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Willamette"
211291,323800,"Bucknell University",,"PA",2,,,,3346,,,,,,,,,,,,,,,,0.4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Affordability"
218973,345700,"Wofford College",,"SC",2,,,,1081,,,,,,,,,,,,,,,,0.4542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"National_Peer"
221519,353400,"The University of the South",,"TN",2,,,,1241,,,,,,,,,,,,,,,,0.5085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"National_Peer"
233374,374400,"University of Richmond",,"VA",2,,,,3245,,,,,,,,,,,,,,,,0.5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Affordability"
235316,377800,"Gonzaga University",,"WA",2,,,,2822,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Competitor"
236328,379700,"University of Puget Sound",,"WA",2,,,,2768,,,,,,,,,,,,,,,,0.5878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1996-97",1996,"Regional_Peer"
